what are the items you have,enquiry
food items are present,enquiry
price of vegetables,enquiry
general essentials,enquiry
what are the offers,enquiry
what are options for covid essentials,enquiry
are medicines available,enquiry
good evening,greeting
hi,greeting
hello,greeting
good afternoon,greeting
good morning,greeting
"Please provde your name,Phone numbar and Email",information
i want to place order,order
i want to purchase,order
i want to buy,order
what are the payment options,payment
